,name,latitude,longitude,cables
40,"Great Bay, VI, United States",18.322474,-64.843188,"[{'id': 'st-thomas-st-croix-system', 'name': 'St. Thomas-St. Croix System', 'cable_id': 1756.0}]"
41,"Lae, Papua New Guinea",-6.742785,146.992954,"[{'id': 'png-national-submarine-fibre-cable-network', 'name': 'PNG National Submarine Fibre Cable Network', 'cable_id': 1899.0}]"
42,"Singapore, Singapore",1.293661,103.853033,"[{'id': 'batam-singapore-cable-system-bscs', 'name': 'Batam Singapore Cable System (BSCS)', 'cable_id': 1785.0}, {'id': 'indonesia-global-gateway-igg-system', 'name': 'Indonesia Global Gateway (IGG) System', 'cable_id': 1895.0}, {'id': 'jakarta-bangka-bintan-batam-singapore-b3js', 'name': 'Jakarta-Bangka-Bintan-Batam-Singapore (B3JS)', 'cable_id': 1833.0}]"
43,"Hudishibana, Aruba",12.61663,-70.049972,"[{'id': 'deep-blue-cable', 'name': 'Deep Blue Cable', 'cable_id': 1913.0}, {'id': 'pacific-caribbean-cable-system-pccs', 'name': 'Pacific Caribbean Cable System (PCCS)', 'cable_id': 1727.0}]"
44,"Estepona, Spain",36.427104,-5.145865,"[{'id': 'estepona-tetouan', 'name': 'Estepona-Tetouan', 'cable_id': 1251.0}, {'id': 'flag-europe-asia-fea', 'name': 'FLAG Europe-Asia (FEA)', 'cable_id': 1027.0}]"
45,"Ozamiz City, Philippines",8.15003,123.849996,"[{'id': 'pldt-domestic-fiber-optic-network-dfon', 'name': 'PLDT Domestic Fiber Optic Network (DFON)', 'cable_id': 1839.0}]"
46,"Tiakur, Indonesia",-8.282921,125.573726,"[{'id': 'palapa-ring-east', 'name': 'Palapa Ring East', 'cable_id': 1938.0}]"
47,"Danang, Vietnam",16.051564,108.21475,"[{'id': 'asia-pacific-gateway-apg', 'name': 'Asia Pacific Gateway (APG)', 'cable_id': 1617.0}, {'id': 'seamewe-3', 'name': 'SeaMeWe-3', 'cable_id': 1031.0}]"
48,"Accra, Ghana",5.558283,-0.201092,"[{'id': 'africa-coast-to-europe-ace', 'name': 'Africa Coast to Europe (ACE)', 'cable_id': 1629.0}, {'id': 'glo-1', 'name': 'Glo-1', 'cable_id': 1357.0}, {'id': 'main-one', 'name': 'Main One', 'cable_id': 1565.0}, {'id': 'sat-3wasc', 'name': 'SAT-3/WASC', 'cable_id': 1219.0}, {'id': 'west-african-cable-system-wacs', 'name': 'West African Cable System (WACS)', 'cable_id': 1560.0}]"
49,"Terante, Indonesia",0.79581,127.361347,"[{'id': 'palapa-ring-middle', 'name': 'Palapa Ring Middle', 'cable_id': 1940.0}]"
50,"Corrie, United Kingdom",55.643648,-5.141422,"[{'id': 'bt-highlands-and-islands-submarine-cable-system', 'name': 'BT Highlands and Islands Submarine Cable System', 'cable_id': 1827.0}]"
51,"Brean, United Kingdom",51.293735,-3.010905,"[{'id': 'gtt-express', 'name': 'GTT Express', 'cable_id': 1673.0}, {'id': 'swansea-brean', 'name': 'Swansea-Brean', 'cable_id': 1835.0}]"
52,"Levin, New Zealand",-40.625288,175.285323,"[{'id': 'nelson-levin', 'name': 'Nelson-Levin', 'cable_id': 1486.0}]"
53,"Mancora, Peru",-4.154041,-81.053788,"[{'id': 'south-america-1-sam-1', 'name': 'South America-1 (SAm-1)', 'cable_id': 1083.0}]"
54,"Changi South, Singapore",1.389047,103.987017,"[{'id': 'asia-submarine-cable-express-asecahaya-malaysia', 'name': 'Asia Submarine-cable Express (ASE)/Cahaya Malaysia', 'cable_id': 1679.0}, {'id': 'eac-c2c', 'name': 'EAC-C2C', 'cable_id': 1592.0}, {'id': 'matrix-cable-system', 'name': 'Matrix Cable System', 'cable_id': 1535.0}]"
55,"Beirut, Lebanon",33.892474,35.485195,"[{'id': 'berytar', 'name': 'BERYTAR', 'cable_id': 1321.0}, {'id': 'cadmos', 'name': 'CADMOS', 'cable_id': 1305.0}]"
56,"Tricomo, Cyprus",35.297295,33.896816,"[{'id': 'turcyos-2', 'name': 'Turcyos-2', 'cable_id': 1705.0}]"
57,"Baie Jacotet, Mauritius",-20.474004,57.485379,"[{'id': 'safe', 'name': 'SAFE', 'cable_id': 1220.0}]"
58,"Sandwick, United Kingdom",59.995977,-1.238689,"[{'id': 'shefa-2', 'name': 'SHEFA-2', 'cable_id': 1576.0}]"
59,"Msida, Malta",35.898711,14.488146,"[{'id': 'italy-malta', 'name': 'Italy-Malta', 'cable_id': 1301.0}]"
60,"Tera Cora, Curaçao",12.234501,-69.020627,"[{'id': 'pacific-caribbean-cable-system-pccs', 'name': 'Pacific Caribbean Cable System (PCCS)', 'cable_id': 1727.0}]"
61,"Mataram, Indonesia",-8.586388,116.081543,"[{'id': 'jaka2ladema', 'name': 'JaKa2LaDeMa', 'cable_id': 1767.0}, {'id': 'mataram-kupang-cable-system-mkcs', 'name': 'Mataram Kupang Cable System (MKCS)', 'cable_id': 1780.0}]"
62,"Banjul, Gambia",13.455948,-16.581358,"[{'id': 'africa-coast-to-europe-ace', 'name': 'Africa Coast to Europe (ACE)', 'cable_id': 1629.0}]"
63,"Quellon, Chile",-43.117475,-73.479463,"[{'id': 'fos-quellon-chacabuco', 'name': 'FOS Quellon-Chacabuco', 'cable_id': 1805.0}]"
64,"Novorossiysk, Russia",44.723633,37.772791,"[{'id': 'georgia-russia', 'name': 'Georgia-Russia', 'cable_id': 1192.0}]"
65,"Taranaki, New Zealand",-39.287862,174.37153,"[{'id': 'aqualink', 'name': 'Aqualink', 'cable_id': 1487.0}]"
66,"Daru, Papua New Guinea",-9.078184,143.209972,"[{'id': 'png-national-submarine-fibre-cable-network', 'name': 'PNG National Submarine Fibre Cable Network', 'cable_id': 1899.0}]"
67,"Cap Haitien, Haiti",19.737036,-72.206771,"[{'id': 'deep-blue-cable', 'name': 'Deep Blue Cable', 'cable_id': 1913.0}]"
68,"Girne, Cyprus",35.299126,33.23627,"[{'id': 'turcyos-1', 'name': 'Turcyos-1', 'cable_id': 1341.0}]"
69,"Al Khoms, Libya",32.649664,14.264416,"[{'id': 'lfon-libyan-fiber-optic-network', 'name': 'LFON (Libyan Fiber Optic Network)', 'cable_id': 1184.0}]"
70,"Popondetta, Papua New Guinea",-8.604478,148.293466,"[{'id': 'png-national-submarine-fibre-cable-network', 'name': 'PNG National Submarine Fibre Cable Network', 'cable_id': 1899.0}]"
71,"Brookhaven, New York, United States",40.773147,-72.912276,"[{'id': 'atlantic-crossing-1-ac-1', 'name': 'Atlantic Crossing-1 (AC-1)', 'cable_id': 1143.0}, {'id': 'mid-atlantic-crossing-mac', 'name': 'Mid-Atlantic Crossing (MAC)', 'cable_id': 1070.0}]"
72,"Philipsburg, Sint Maarten",18.030201,-63.045825,"[{'id': 'saint-maarten-puerto-rico-network-one-smpr-1', 'name': 'Saint Maarten Puerto Rico Network One (SMPR-1)', 'cable_id': 1245.0}]"
73,"East London, South Africa",-32.983324,27.866668,"[{'id': 'iox-cable-system', 'name': 'IOX Cable System', 'cable_id': 1901.0}]"
74,"Rodbyhavn, Denmark",54.663069,11.358656,"[{'id': 'fehmarn-blt', 'name': 'Fehmarn B\xc3\xa4lt', 'cable_id': 1336.0}]"
75,"Sisimiut, Greenland",66.939467,-53.673381,"[{'id': 'greenland-connect-north', 'name': 'Greenland Connect North', 'cable_id': 1897.0}]"
76,"Ambon, Indonesia",-3.655384,128.190717,"[{'id': 'smpcs-packet-1', 'name': 'SMPCS Packet-1', 'cable_id': 1884.0}]"
77,"Baa, Indonesia",-10.733335,123.035275,"[{'id': 'palapa-ring-east', 'name': 'Palapa Ring East', 'cable_id': 1938.0}]"
78,"Rose Blanche, NL, Canada",47.617687,-58.686599,"[{'id': 'persona', 'name': 'Persona', 'cable_id': 1577.0}]"
79,"Island Park, New York, United States",40.600308,-73.655928,"[{'id': 'flag-atlantic-1-fa-1', 'name': 'FLAG Atlantic-1 (FA-1)', 'cable_id': 1028.0}]"
80,"Feolin Ferry, United Kingdom",55.846748,-6.089908,"[{'id': 'bt-highlands-and-islands-submarine-cable-system', 'name': 'BT Highlands and Islands Submarine Cable System', 'cable_id': 1827.0}]"
81,"Baubau, Indonesia",-5.507068,122.596896,"[{'id': 'palapa-ring-middle', 'name': 'Palapa Ring Middle', 'cable_id': 1940.0}]"
82,"Sennen Cove, United Kingdom",50.07606,-5.698746,"[{'id': 'celtic', 'name': 'Celtic', 'cable_id': 1054.0}, {'id': 'esat-1', 'name': 'ESAT-1', 'cable_id': 1223.0}]"
83,"Half Moon Bay, Cayman Islands",19.282959,-81.166776,"[{'id': 'cayman-jamaica-fiber-system', 'name': 'Cayman-Jamaica Fiber System', 'cable_id': 1068.0}, {'id': 'maya-1', 'name': 'Maya-1', 'cable_id': 1071.0}]"
84,"San Pedro, Belize",17.911036,-87.978345,"[{'id': 'strategic-evolution-underwater-link-seul', 'name': 'Strategic Evolution Underwater Link (SEUL)', 'cable_id': 1893.0}]"
85,"Peel, United Kingdom",54.222445,-4.691422,"[{'id': 'bt-mt-1', 'name': 'BT-MT-1', 'cable_id': 1752.0}, {'id': 'lanis-2', 'name': 'Lanis-2', 'cable_id': 1751.0}]"
86,"Kawaihae, Hawaii, United States",20.03999,-155.831413,"[{'id': 'hics-hawaii-inter-island-cable-system', 'name': 'HICS (Hawaii Inter-Island Cable System)', 'cable_id': 1455.0}, {'id': 'hifn-hawaii-island-fibre-network', 'name': 'HIFN (Hawaii Island Fibre Network)', 'cable_id': 1456.0}, {'id': 'honotua', 'name': 'Honotua', 'cable_id': 1556.0}]"
87,"Donaghadee, United Kingdom",54.642867,-5.538785,"[{'id': 'scotland-northern-ireland-1', 'name': 'Scotland-Northern Ireland 1', 'cable_id': 1387.0}]"
88,"Cartagena, Colombia",10.386699,-75.505683,"[{'id': 'arcos', 'name': 'ARCOS', 'cable_id': 1078.0}, {'id': 'aurora', 'name': 'AURORA', 'cable_id': 1924.0}, {'id': 'america-movil-submarine-cable-system-1-amx-1', 'name': 'America Movil Submarine Cable System-1 (AMX-1)', 'cable_id': 1686.0}, {'id': 'colombia-florida-subsea-fiber-cfx-1', 'name': 'Colombia-Florida Subsea Fiber (CFX-1)', 'cable_id': 1554.0}, {'id': 'deep-blue-cable', 'name': 'Deep Blue Cable', 'cable_id': 1913.0}, {'id': 'pacific-caribbean-cable-system-pccs', 'name': 'Pacific Caribbean Cable System (PCCS)', 'cable_id': 1727.0}]"
